delaytimes_ms,delay_ms
24.181,7.791666666666667
24.182,10.125
24.183,10.846153846153847
24.184,11.0
24.185,11.153846153846153
24.186,11.083333333333334
24.187,11.25
24.188,13.23076923076923
24.189,15.545454545454545
24.19,16.3
24.191,17.130434782608695
24.192,19.083333333333332
24.193,21.526315789473685
24.194,22.09090909090909
24.195,22.142857142857142
24.196,22.23076923076923
24.197,22.272727272727273
24.198,22.357142857142858
24.199,24.48
24.2,27.17391304347826
24.201,28.15
24.202,28.954545454545453
24.203,30.541666666666668
24.204,32.875
24.205,33.4
24.206,33.36363636363637
24.207,33.42857142857143
24.208,33.61538461538461
24.209,33.714285714285715
24.21,35.47826086956522
24.211,38.11538461538461
24.212,39.25
24.213,40.31818181818182
24.214,42.40909090909091
24.215,44.5
24.216,44.86666666666667
24.217,45.083333333333336
24.218,45.0
24.219,45.07692307692308
24.22,45.0
24.221,46.666666666666664
24.222,49.52173913043478
24.223,50.88461538461539
24.224,52.0
24.225,53.6
24.226,56.21739130434783
24.227,57.476190476190474
24.228,57.833333333333336
24.229,57.916666666666664
24.23,58.0
24.231,58.55555555555556
24.232,59.666666666666664
24.233,61.333333333333336
24.234,62.333333333333336
24.235,63.72
24.236,66.56521739130434
24.237,68.34782608695652
24.238,68.92857142857143
24.239,69.21428571428571
24.24,69.0
24.241,68.27272727272727
24.242,68.11111111111111
24.243,69.05882352941177
24.244,71.625
24.245,73.25
24.246,74.28
24.247,75.82608695652173
24.248,78.56521739130434
24.249,79.57142857142857
24.25,79.55555555555556
24.251,79.57142857142857
24.252,79.8125
24.253,80.54545454545455
24.254,82.33333333333333
24.255,84.04347826086956
24.256,85.04347826086956
24.257,86.125
24.258,88.92
24.259,91.04347826086956
24.26,91.45454545454545
24.261,91.53333333333333
24.262,91.72727272727273
24.263,91.8
24.264,92.5
24.265,93.4
24.266,95.2
24.267,96.52173913043478
24.268,97.58333333333333
24.269,99.4090909090909
24.27,102.08333333333333
24.271,103.375
24.272,104.13333333333334
24.273,104.25
24.274,105.0
24.275,106.16666666666667
24.276,106.0
24.28,103.625
24.281,105.03030303030303
24.282,107.15384615384616
24.283,108.33333333333333
24.289,104.06666666666666
24.29,105.1923076923077
24.291,106.74193548387096
24.292,108.82758620689656
24.299,104.0
24.3,105.87096774193549
24.301,108.0
24.302,109.52380952380952
24.309,106.0
24.31,108.32142857142857
24.311,109.3529411764706
24.319,102.95238095238095
24.32,105.79310344827586
24.321,108.27586206896552
24.322,109.0
24.329,102.6842105263158
24.33,104.48275862068965
24.331,107.57692307692308
24.332,108.95652173913044
24.339,103.75
24.34,105.3103448275862
24.341,108.81481481481481
24.342,110.0
24.349,103.76923076923077
24.35,104.51851851851852
24.351,106.60714285714286
24.352,109.76
24.359,104.61538461538461
24.36,105.53125
24.361,108.57575757575758
24.362,111.33333333333333
24.369,105.0
24.37,105.41379310344827
24.371,107.6969696969697
24.372,111.0
24.379,105.0
24.38,105.90625
24.381,107.60606060606061
24.382,110.4090909090909
24.39,105.95652173913044
24.391,107.57575757575758
24.392,109.6774193548387
24.4,105.95652173913044
24.401,107.71875
24.402,109.54838709677419
24.403,111.0
24.41,105.0909090909091
24.411,106.79310344827586
24.412,108.53125
24.42,102.46153846153847
24.421,104.86666666666666
24.422,107.62068965517241
24.423,108.53333333333333
24.43,102.5
24.431,103.43333333333334
24.432,107.2
24.433,109.0625
24.44,103.23076923076923
24.441,104.1
24.442,107.35714285714286
24.443,109.52380952380952
24.45,104.0
24.451,104.26666666666667
24.452,107.16129032258064
24.453,110.18518518518519
24.454,110.0
24.46,105.0
24.461,105.59375
24.462,108.67857142857143
24.463,111.26923076923077
24.47,105.85714285714286
24.471,106.375
24.472,109.24242424242425
24.473,111.91666666666667
24.481,106.06666666666666
24.482,107.6896551724138
24.483,110.04347826086956
24.49,105.0
24.491,105.65384615384616
24.492,107.32352941176471
24.493,109.96969696969697
24.494,112.66666666666667
24.501,107.48
24.502,108.96875
24.503,110.27272727272727
24.511,104.82352941176471
24.512,106.78787878787878
24.513,108.65625
24.514,109.0
24.521,103.27777777777777
24.522,105.92307692307692
24.523,108.625
24.524,109.73684210526316
24.531,104.0909090909091
24.532,106.10344827586206
24.533,108.96666666666667
24.534,109.33333333333333
24.541,103.0
24.542,103.17391304347827
24.543,105.48275862068965
24.544,108.63333333333334
24.545,109.0
24.551,104.0
24.552,104.6896551724138
24.553,108.06896551724138
24.554,110.0952380952381
24.561,104.0
24.562,104.7
24.563,106.72413793103448
24.564,109.58823529411765
24.571,104.0
24.572,104.58620689655173
24.573,106.1875
24.574,109.03703703703704
24.575,110.8
